範囲名,'21,'20,'19,'18,'17
監査制度,,,1,,
職業倫理,1,1,1,1,1
職業倫理（精神的独立性）,7,7,7,,
マクロ経済,,,1,1,1
連結財務諸表及び組織再編,,,,1,1
セグメント情報・関連当事者,,,,1,1
実査・立会・確認,2,,,,
リスク評価及び評価したリスクへの対応,1,2,2,2,2
決算実務と開示,4,1,2,2,2
現預金・借入金,,,,3,3
販売,3,3,3,3,3
経営分析総論,4,5,3,3,3
国際財務報告基準の概要,4,6,3,,
IFRSの概要,,,,3,3
購買・棚卸資産・原価計算,3,3,4,4,4
金融商品,2,4,4,4,4
固定資産,3,4,4,4,4
人件費,2,4,,4,4
財務諸表における不正,1,2,5,5,5
財務報告に係る内部統制の監査,6,1,5,5,5
連結財務諸表作成の基礎,5,5,5,,
連結財務諸表（会計処理・セグメント・CF）,5,5,5,,
連結財務諸表作成実務,,,,5,5
財務諸表分析（監査等における利用）,,5,6,6,6
分析的手続,6,,,,
純資産の部・包括利益・過年度遡及,6,,,,
ITのリスク評価の概論,5,6,6,6,6
ファイナンスの基礎,6,2,6,,
税金・税効果会計,7,7,,6,6
業務処理統制,5,6,,6,6
監査の結論及び報告,7,7,7,7,7
企業再編の実務,,,,7,7
組織再編の会計・税務・法務,7,7,7,,
企業におけるリスク管理,7,,7,7,
経営管理と内部統制,,,,,7
デューデリジェンス,8,8,8,8,8
企業価値評価,8,,,,8
職業倫理（ゼミナール）（旧：監査事例研究）,8,8,8,8,8
退職給付会計,8,8,8,8,
コーポレートガバナンス,8,,,,,
